neutre,phase1,phase2,phase3,time
130.86,132.81,134.77,142.09,15:02:29
132.81,132.81,134.28,141.11,15:02:30
125.49,132.32,141.6,151.86,15:02:31
125.49,137.21,148.44,146.0,15:02:32
128.42,142.58,142.09,135.25,15:02:33
136.23,139.16,135.25,130.86,15:02:34
134.77,133.79,133.79,137.7,15:02:35
128.91,132.32,140.14,149.41,15:02:36
125.98,131.84,139.16,151.37,15:02:37
125.49,135.74,147.95,147.95,15:02:38
131.35,142.58,145.02,136.72,15:02:39
134.28,139.16,137.21,133.3,15:02:40
175.29,160.16,156.25,162.11,15:02:59
134.77,140.62,145.51,157.71,15:03:00
131.35,136.23,142.09,155.76,15:03:01
129.39,134.77,140.62,154.3,15:03:02
127.44,137.21,148.93,149.9,15:03:03
129.39,143.55,144.04,137.7,15:03:04
137.21,140.14,135.74,131.84,15:03:05
131.84,133.79,134.28,140.62,15:03:06
126.46,132.32,140.62,151.86,15:03:07
125.98,140.14,148.93,146.97,15:03:08
128.91,142.58,142.09,135.74,15:03:09
133.3,132.81,134.28,142.09,15:03:10
126.46,132.81,142.09,151.37,15:03:11
125.49,132.32,147.46,153.32,15:03:12
126.46,138.18,147.95,143.55,15:03:13
125.49,138.67,148.93,144.04,15:03:14
126.95,139.65,148.93,142.09,15:03:15
132.32,139.65,140.14,133.3,15:03:16
136.23,137.21,133.79,133.3,15:03:17
136.23,137.21,134.28,132.81,15:03:18
131.84,136.23,133.79,134.28,15:03:19
125.98,131.84,137.21,149.41,15:03:20
125.49,134.28,147.46,148.93,15:03:21
126.46,142.09,146.0,139.65,15:03:22
134.77,134.28,133.79,137.21,15:03:23
125.0,131.84,139.16,151.86,15:03:24
126.95,142.09,143.55,135.74,15:03:25
134.28,139.16,137.21,133.79,15:03:26
